n_neighbors,n_components,min_dist,min_cluster_size,min_samples,silhouette,calinski_harabasz,davies_bouldin,n_clusters,noise_ratio,sil_norm,ch_norm,db_norm,db_inv_norm,combined_score
5,2,0.0,10,5,0.5776811242103577,5060.25830078125,0.4985608747981547,59,0.1835,0.9291945771370659,0.738331243663434,0.06603655182514152,0.9339634481748584,0.8671630896584528
5,2,0.0,10,10,0.6010876297950745,5778.56689453125,0.47515266005007756,41,0.2585,0.9760784665457148,0.8482974404216087,0.0366429505363272,0.9633570494636728,0.9292443188103321
5,2,0.0,10,20,0.4445728063583374,2224.8466796875,0.5346839837716365,17,0.203,0.6625748704508949,0.304256759620536,0.11139619474990303,0.888603805250097,0.6184784784405093
5,2,0.0,20,5,0.2148813158273697,497.1952209472656,0.700839947231775,21,0.0815,0.20249635077672754,0.039769794137427546,0.3200375710473971,0.679962428952603,0.3074095246222527
5,2,0.0,20,10,0.3948264420032501,1803.8720703125,0.6127843840877876,22,0.132,0.5629315026502293,0.23980956084340588,0.20946655389928276,0.7905334461007172,0.5310915031981174
5,2,0.0,20,20,0.4445728063583374,2224.8466796875,0.5346839837716365,17,0.203,0.6625748704508949,0.304256759620536,0.11139619474990303,0.888603805250097,0.6184784784405093
5,2,0.0,40,5,0.11378620564937592,982.5277099609375,0.8905049529300532,11,0.0385,0.0,0.11406957064627872,0.5581991573082133,0.44180084269178665,0.18529013777935513
5,2,0.0,40,10,0.2039295881986618,952.6273193359375,0.838366576509172,10,0.1325,0.18055973212514856,0.10949210593650886,0.4927292073417219,0.5072707926582781,0.2657742102399785
5,2,0.0,40,20,0.5383120775222778,3574.7529296875,0.6293734340126362,6,0.0975,0.8503372686692412,0.5109145353790345,0.23029735729454348,0.7697026427054565,0.7103181489179107
5,2,0.1,10,5,0.5230332612991333,3745.93701171875,0.554680440364382,49,0.2485,0.819733369787013,0.5371211861281799,0.13650566501928896,0.863494334980711,0.7401162969653012
5,2,0.1,10,10,0.5697914958000183,3976.899169921875,0.48237700509576736,39,0.3475,0.9133914293956444,0.572479290365893,0.04571453160866295,0.9542854683913371,0.8133853960509582
5,2,0.1,10,20,0.43267151713371277,1881.8050537109375,0.5839487580192184,15,0.2485,0.6387362531994596,0.2517403575245421,0.17325777400322143,0.8267422259967786,0.5724062789069266
5,2,0.1,20,5,0.42999622225761414,2852.747314453125,0.6159430952285391,22,0.205,0.6333775622725905,0.40038235988204557,0.21343293479833925,0.7865670652016608,0.6067756624520989
5,2,0.1,20,10,0.41876378655433655,1843.786865234375,0.6288492191296227,16,0.208,0.6108786774477629,0.24592013536545976,0.2296391027703607,0.7703608972296393,0.5423865700142874
5,2,0.1,20,20,0.4169272184371948,2148.3671875,0.5966003189420045,10,0.162,0.607199979823127,0.29254847858501354,0.18914428826531676,0.8108557117346833,0.570201390047608
5,2,0.1,40,5,0.3767167031764984,2301.159912109375,0.6954606427916112,11,0.161,0.5266571861231467,0.3159395878711986,0.31328280005665715,0.6867171999433428,0.5097713246458959
5,2,0.1,40,10,0.3955228626728058,2167.44189453125,0.6422316656471647,11,0.1925,0.5643264528505131,0.2954686343575519,0.24644338713971123,0.7535566128602887,0.5377839000227845
5,2,0.1,40,20,0.48649877309799194,2953.739501953125,0.5942737772242879,7,0.114,0.7465537617406791,0.4158433008457127,0.18622285917008968,0.8137771408299104,0.6587247344721008
5,2,0.5,10,5,0.3906629681587219,1259.25537109375,0.6484953551289063,38,0.368,0.5545919473682089,0.1564339370165793,0.2543086768768697,0.7456913231231304,0.4855724025026395
5,2,0.5,10,10,0.3831804096698761,1103.0465087890625,0.5927829284569108,20,0.439,0.5396041721355892,0.1325198496215085,0.18435080635778367,0.8156491936422163,0.49592440513310465
5,2,0.5,10,20,0.3766658306121826,951.9273681640625,0.5636018787664335,12,0.4965,0.5265552869451304,0.109384950086005,0.14770827940636688,0.8522917205936331,0.49607731920825615
